Наименование,Дата поставки,Дата заказа,Срок поставки,Плановый срок поставки,Регион,Объем заказа,"Цена, руб",Условия платежа,НРП - нерегламентная потребность (внеплановая закупка),Поставщик
ШКИВ К МПЭ-350-900 3536.19.00.200,2017-04-10 00:00:00,2015-06-09 00:00:00,671,210,Республика Карелия,1,"38394,90446",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 30 дней с даты ППС ДЕНЬГИ 100%,,4011
СТРЕЛА 1085.05.00СБ,2015-11-10 00:00:00,2015-08-03 00:00:00,99,180,Вологодская область,1,"2050955,414",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
УСТРОЙСТВО КУЭ-3 04УХЛ2,2015-10-27 00:00:00,2015-08-03 00:00:00,85,150,Вологодская область,1,"1337579,618",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
ВТУЛКА 1080.33.70,2015-08-31 00:00:00,2015-08-03 00:00:00,28,30,Вологодская область,6,"3439,490446",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
ЗУБ КОВША 1085.52.05-1СБ НАПЛАВКА,2015-08-31 00:00:00,2015-08-03 00:00:00,28,75,Вологодская область,30,"6496,815287",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
ПЛАСТИНА IBR130 23Х130Х240,2015-08-31 00:00:00,2015-08-03 00:00:00,28,90,Вологодская область,10,"1942,675159",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
ВАЛ 1080.33.51-2,2015-08-31 00:00:00,2015-08-03 00:00:00,28,80,Вологодская область,2,"9171,974522",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
П/МУФТА 1080.30.06 ВЕДОМ,2015-08-31 00:00:00,2015-08-03 00:00:00,28,80,Вологодская область,1,"5095,541401",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
КЛИН 1080.27.03,2015-08-31 00:00:00,2015-08-03 00:00:00,28,90,Вологодская область,6,"4777,070064",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
ВАЛ 1080.33.51,2015-08-31 00:00:00,2015-08-03 00:00:00,28,130,Вологодская область,2,"9171,974522",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
"ЗУБ 1080.02.10 КОВША,С НАПЛАВКОЙ",2015-08-31 00:00:00,2015-08-03 00:00:00,28,140,Вологодская область,5,"5732,484076",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
"ЗУБ 1080.02.10 КОВША,С НАПЛАВКОЙ",2015-08-31 00:00:00,2015-08-03 00:00:00,28,140,Вологодская область,5,"5732,484076",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
"ЗУБ 1080.02.10 КОВША,С НАПЛАВКОЙ",2015-08-31 00:00:00,2015-08-03 00:00:00,28,140,Вологодская область,5,"5732,484076",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
СОВОК 1085.02.00СБ,2015-08-31 00:00:00,2015-08-03 00:00:00,28,90,Вологодская область,1,"658535,0318",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
РЕЙКА ЗУБЧ 1080.04.114-1 КРЕМАЛЬЕРНАЯ,2015-08-31 00:00:00,2015-08-03 00:00:00,28,120,Вологодская область,2,"57324,84076",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
РЕЙКА ЗУБЧ 1080.04.114-1 КРЕМАЛЬЕРНАЯ,2015-08-31 00:00:00,2015-08-03 00:00:00,28,120,Вологодская область,2,"57324,84076",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
РЕЙКА ЗУБЧ 1080.04.114-1 КРЕМАЛЬЕРНАЯ,2015-08-31 00:00:00,2015-08-03 00:00:00,28,120,Вологодская область,2,"57324,84076",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
РЕЙКА ЗУБЧ 1080.04.114-1 КРЕМАЛЬЕРНАЯ,2015-08-31 00:00:00,2015-08-03 00:00:00,28,120,Вологодская область,2,"57324,84076",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
ЦАПФА 1080.12.00СБ ЦЕНТРАЛЬНАЯ В СБОРЕ,2015-08-31 00:00:00,2015-08-03 00:00:00,28,90,Вологодская область,1,"142038,2166",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
ВТУЛКА 1080.27.02,2015-08-31 00:00:00,2015-08-03 00:00:00,28,60,Вологодская область,1,"15286,6242",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
КРУГ РОЛИКОВЫЙ 1085.35.00СБ,2015-08-31 00:00:00,2015-08-03 00:00:00,28,60,Вологодская область,1,"134394,9045",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 60 дней с даты ППС ДЕНЬГИ 100%,,3699
КОРОНКА 423-847-1140,2016-05-30 00:00:00,2015-08-04 00:00:00,300,120,Вологодская область,10,"4126,847034",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,1,2938
КОРОНКА 423-847-1140,2015-08-15 00:00:00,2015-08-04 00:00:00,11,120,Вологодская область,10,"11546,57741",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,2938
КОМ/КОНТР-Р ЭК 8203А,2015-11-03 00:00:00,2015-09-16 00:00:00,48,55,Вологодская область,5,"6410,191083",,1,3987
ВТУЛКА 3536.05.02.150,2016-06-20 00:00:00,2015-09-25 00:00:00,269,130,Республика Карелия,2,"82770,70064",,,4011
ВТУЛКА ТРУБЫ Ц/ЦАПФЫ 3536.06.00.004 НИЖН,2016-06-20 00:00:00,2015-09-25 00:00:00,269,90,Республика Карелия,1,"19324,84076",,1,4011
ВТУЛКА ТРУБЫ Ц/ЦАПФЫ 3536.06.00.011 ВЕРХ,2016-06-20 00:00:00,2015-09-25 00:00:00,269,180,Республика Карелия,1,"20872,61146",,,4011
ПОЛУБЛОК ВОЗВРАТНЫЙ 3519.49.00.001,2016-06-20 00:00:00,2015-09-25 00:00:00,269,210,Республика Карелия,3,"67885,35032",,,4011
КОЛЕСО 3519.05.02.100 МАЛОЕ ОПОРНОЕ,2016-04-30 00:00:00,2015-09-25 00:00:00,218,205,Республика Карелия,4,"136942,6752",,,4014
КОЛЕСО 3519.05.02.100 МАЛОЕ ОПОРНОЕ,2016-04-30 00:00:00,2015-09-25 00:00:00,218,205,Республика Карелия,4,"136942,6752",,,4014
КОЛЕСО 3519.05.02.100 МАЛОЕ ОПОРНОЕ,2016-04-30 00:00:00,2015-09-25 00:00:00,218,205,Республика Карелия,2,"136942,6752",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
КОЛЕСО 3519.05.02.100 МАЛОЕ ОПОРНОЕ,2016-04-30 00:00:00,2015-09-25 00:00:00,218,205,Республика Карелия,2,"136942,6752",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
КОЛЕСО 3519.05.02.100 МАЛОЕ ОПОРНОЕ,2016-04-30 00:00:00,2015-09-25 00:00:00,218,205,Республика Карелия,2,"136942,6752",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
ПОЛУБЛОК НАПОРНЫЙ 3536.38.00.001,2016-03-10 00:00:00,2015-09-25 00:00:00,167,270,Республика Карелия,2,"107006,3694",,1,2914
КОЛЕСО 3519.05.02.100 МАЛОЕ ОПОРНОЕ,2016-01-30 00:00:00,2015-09-25 00:00:00,127,205,Республика Карелия,4,"136942,6752",,,4014
ПОДКОС ЛЕВЫЙ 3536.24.00.270 ,2016-06-20 00:00:00,2015-10-06 00:00:00,258,220,Республика Карелия,1,"174098,0892",ПОСЛЕДУЮЩАЯ ОПЛАТА 100% в течение 45 дней с даты ППС ДЕНЬГИ 100%,,4014
РЕДУКТОР ПОВОРОТА 3555.11.01.000СБ,2016-03-10 00:00:00,2015-10-06 00:00:00,156,330,Республика Карелия,2,"1574069,427",,,2914
КОЛЕСО ВЕДУЩЕЕ 3519.05.02.003,2016-01-20 00:00:00,2015-10-06 00:00:00,106,180,Республика Карелия,2,"109557,9618",,,2914
